,taxonomicNameString,fullNameWithAuthorship,rank,uninomial,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,cultivarNameGroup,taxonomicNameAuthorship,combinationAuthorship,basionymAuthorship,combinationExAuthorship,basionymExAuthorship,nomenclaturalStatus,basedOn,kindOfName,nameRegistrationString,verbatimTaxonomicNameString
25,Exocelina pulchella,0.0,specificEpithet,0.0,Exocelina,0.0,pulchella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina pulchella sp.
26,Exocelina mianminensis,0.0,specificEpithet,0.0,Exocelina,0.0,mianminensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina mianminensis sp.
27,Exocelina oiwa,0.0,specificEpithet,0.0,Exocelina,0.0,oiwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina oiwa sp.
28,Exocelina oksibilensis,0.0,specificEpithet,0.0,Exocelina,0.0,oksibilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina oksibilensis sp.
29,E. mekilensis,0.0,specificEpithet,0.0,E.,0.0,mekilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. mekilensis sp.
30,Exocelina pseudojaseminae,0.0,specificEpithet,0.0,Exocelina,0.0,pseudojaseminae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina pseudojaseminae sp.
31,E. mekilensis,0.0,specificEpithet,0.0,E.,0.0,mekilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. mekilensis sp.
32,Exocelina warahulenensis,0.0,specificEpithet,0.0,Exocelina,0.0,warahulenensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina warahulenensis sp.
33,Exocelina koroba,0.0,specificEpithet,0.0,Exocelina,0.0,koroba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina koroba sp.
34,E. morobensis,0.0,specificEpithet,0.0,E.,0.0,morobensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. morobensis sp.
35,Shaverdo,0.0,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Shaverdo %26 Balke, 2017), E. mekilensis sp."
36,Exocelina aseki,0.0,specificEpithet,0.0,Exocelina,0.0,aseki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina aseki sp.
37,Exocelina oiwa,0.0,specificEpithet,0.0,Exocelina,0.0,oiwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina oiwa sp.
38,E. oiwa,0.0,specificEpithet,0.0,E.,0.0,oiwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. oiwa sp.
39,E. warasera,0.0,specificEpithet,0.0,E.,0.0,warasera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. warasera sp.
40,E. aseki,0.0,specificEpithet,0.0,E.,0.0,aseki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. aseki sp.
41,Exocelina mekilensis,0.0,specificEpithet,0.0,Exocelina,0.0,mekilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina mekilensis sp.
42,E. akameku,0.0,specificEpithet,0.0,E.,0.0,akameku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. akameku sp.
43,E. akameku,0.0,specificEpithet,0.0,E.,0.0,akameku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. akameku sp.
44,Exocelina morobensis,0.0,specificEpithet,0.0,Exocelina,0.0,morobensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina morobensis sp.
45,E. haia,0.0,specificEpithet,0.0,E.,0.0,haia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. haia sp.
46,Exocelina koroba,Exocelina koroba Shaverdo,specificEpithet,0.0,Exocelina,0.0,koroba,0.0,0.0,Shaverdo,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,"Exocelina koroba Shaverdo %26 Balke, sp."
47,Exocelina mekilensis,Exocelina mekilensis Shaverdo,specificEpithet,0.0,Exocelina,0.0,mekilensis,0.0,0.0,Shaverdo,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,"Exocelina mekilensis Shaverdo %26 Balke, sp."
48,Exocelina oiwa,0.0,specificEpithet,0.0,Exocelina,0.0,oiwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina oiwa sp.
49,E. garaina,E. garaina Shaverdo,specificEpithet,0.0,E.,0.0,garaina,0.0,0.0,Shaverdo,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,"E. garaina Shaverdo %26 Balke, 2016), E. morobensis sp."
50,E. oksibilensis,0.0,specificEpithet,0.0,E.,0.0,oksibilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. oksibilensis sp.
51,E. bacchusi herzogensis,0.0,infraspecificEpithet,0.0,E.,0.0,bacchusi,herzogensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. bacchusi herzogensis sp.
52,E. oksibilensis,0.0,specificEpithet,0.0,E.,0.0,oksibilensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. oksibilensis sp.
53,Exocelina morobensis,Exocelina morobensis Shaverdo,specificEpithet,0.0,Exocelina,0.0,morobensis,0.0,0.0,Shaverdo,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,"Exocelina morobensis Shaverdo %26 Balke, sp."
54,E. akameku,0.0,specificEpithet,0.0,E.,0.0,akameku,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. akameku sp.
55,Exocelina oiwa,Exocelina oiwa Shaverdo,specificEpithet,0.0,Exocelina,0.0,oiwa,0.0,0.0,Shaverdo,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,"Exocelina oiwa Shaverdo %26 Balke, sp."
56,Exocelina akameku,Exocelina akameku Shaverdo,specificEpithet,0.0,Exocelina,0.0,akameku,0.0,0.0,Shaverdo,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,"Exocelina akameku Shaverdo %26 Balke, sp."
57,E. aseki,0.0,specificEpithet,0.0,E.,0.0,aseki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. aseki sp.
58,E. oiwa,0.0,specificEpithet,0.0,E.,0.0,oiwa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. oiwa sp.
59,E. pulchella,0.0,specificEpithet,0.0,E.,0.0,pulchella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. pulchella sp.
60,Exocellina pseudojaseminae,0.0,specificEpithet,0.0,Exocellina,0.0,pseudojaseminae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocellina pseudojaseminae sp.
61,Exocellina kailaki,0.0,specificEpithet,0.0,Exocellina,0.0,kailaki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocellina kailaki sp.
62,Exocelina oksibilensis,"Exocelina oksibilensis Shaverdo, Surbakti & Warikar",specificEpithet,0.0,Exocelina,0.0,oksibilensis,0.0,0.0,"Shaverdo, Surbakti & Warikar",0.0,"Shaverdo, Surbakti, Warikar",0.0,0.0,0.0,0.0,0.0,0.0,"Exocelina oksibilensis Shaverdo, Surbakti, Warikar %26 Balke, sp."
63,Exocelina aseki,Exocelina aseki Shaverdo,specificEpithet,0.0,Exocelina,0.0,aseki,0.0,0.0,Shaverdo,0.0,Shaverdo,0.0,0.0,0.0,0.0,0.0,0.0,"Exocelina aseki Shaverdo %26 Balke, sp."
64,E. pulchella,0.0,specificEpithet,0.0,E.,0.0,pulchella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. pulchella sp.
65,E. pseudojaseminae,0.0,specificEpithet,0.0,E.,0.0,pseudojaseminae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. pseudojaseminae sp.
66,Exocelina aseki,0.0,specificEpithet,0.0,Exocelina,0.0,aseki,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Exocelina aseki sp.
67,E. warahulenensis,0.0,specificEpithet,0.0,E.,0.0,warahulenensis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,E. warahulenensis sp.
